from,to,distance,accessible
room_gf_22,corridor_gf_5,14.64,true
corridor_gf_5,room_gf_22,14.64,true
room_gf_23,corridor_gf_29,28.89,true
corridor_gf_29,room_gf_23,28.89,true
room_gf_23,corridor_gf_5,41.24,true
corridor_gf_5,room_gf_23,41.24,true
room_gf_24,corridor_gf_31,13.22,true
corridor_gf_31,room_gf_24,13.22,true
room_gf_24,corridor_gf_30,20.56,true
corridor_gf_30,room_gf_24,20.56,true
room_gf_25,corridor_gf_31,12.55,true
corridor_gf_31,room_gf_25,12.55,true
room_gf_25,corridor_gf_30,19.02,true
corridor_gf_30,room_gf_25,19.02,true
room_gf_160,corridor_gf_32,12.1,true
corridor_gf_32,room_gf_160,12.1,true
room_gf_160,corridor_gf_31,23.92,true
corridor_gf_31,room_gf_160,23.92,true
room_gf_26,corridor_gf_32,12.71,true
corridor_gf_32,room_gf_26,12.71,true
room_gf_26,corridor_gf_31,23.27,true
corridor_gf_31,room_gf_26,23.27,true
room_gf_27,corridor_gf_33,12.78,true
corridor_gf_33,room_gf_27,12.78,true
room_gf_27,corridor_gf_6,19.94,true
corridor_gf_6,room_gf_27,19.94,true
room_gf_28,corridor_gf_33,13.6,true
corridor_gf_33,room_gf_28,13.6,true
room_gf_28,corridor_gf_6,23.48,true
corridor_gf_6,room_gf_28,23.48,true
room_gf_29,corridor_gf_7,13.88,true
corridor_gf_7,room_gf_29,13.88,true
room_gf_29,corridor_gf_33,21.95,true
corridor_gf_33,room_gf_29,21.95,true
room_gf_30,corridor_gf_7,15.94,true
corridor_gf_7,room_gf_30,15.94,true
room_gf_30,corridor_gf_33,23.83,true
corridor_gf_33,room_gf_30,23.83,true
room_gf_31,corridor_gf_7,16.28,true
corridor_gf_7,room_gf_31,16.28,true
room_gf_31,corridor_gf_33,42.79,true
corridor_gf_33,room_gf_31,42.79,true
room_gf_32,corridor_gf_100,14.61,true
corridor_gf_100,room_gf_32,14.61,true
room_gf_32,corridor_gf_5,36.54,true
corridor_gf_5,room_gf_32,36.54,true
room_gf_33,corridor_gf_100,19.78,true
corridor_gf_100,room_gf_33,19.78,true
room_gf_33,corridor_gf_5,28.06,true
corridor_gf_5,room_gf_33,28.06,true
room_gf_34,corridor_gf_27,37.35,true
corridor_gf_27,room_gf_34,37.35,true
