id,floor,x,y,name,type
room_ff_51,1,163.09908,264.00372,MYP 2 and 3 Supervisor,room
corridor_ff_29,1,287.22986,228.51936,MYP 2 Corridor MYP 3 B -Mindspark Lab Junction,corridor
corridor_ff_26,1,265.29407,228.13226,MYP 2 Corridor MYP 2 F -MYP 3 A Junction,corridor
corridor_ff_27,1,242.326,228.39034,MYP 2 Corridor MYP 2 E - 7E Junction,corridor
corridor_ff_28,1,220.39021,229.93874,MYP 2 Corridor Mid-Corridor Junction,corridor
corridor_ff_30,1,192.77692,238.97113,MYP 2 Corridor MYP 2 B-D Junction,corridor
corridor_ff_31,1,174.97021,247.74544,MYP 2 Corridor Exit,corridor
room_ff_52,1,342.9726,248.77771,FF Auditorium Entrance 1,room
room_ff_53,1,373.42465,248.77771,FF Auditorium Entrance 2,room
corridor_ff_32,1,314.06897,271.61676,Audi Corridor Junction 1 FF,corridor
corridor_ff_33,1,402.97345,271.74579,Audi Corridor Junction 2,corridor
room_ff_54,1,358.71478,264.26181,FF Audi Foyer,room
room_ff_55,1,208.64812,220.77731,Washroom (MYP 2 Corridor),room
corridor_ff_34,1,404.65088,228.77744,FF Lab Corridor Entrance,corridor
corridor_ff_35,1,403.36053,242.19698,FF Auditorium Junction 2,corridor
room_ff_100,1,415.48975,235.61624,Male Washroom (Lab Corridor),room
room_ff_56,1,435.36099,234.97107,PYP 5 K,room
room_ff_57,1,443.74823,234.713,PYP 5 J,room
room_ff_58,1,467.10339,234.3259,PYP 5 I,room
room_ff_59,1,435.49002,221.42249,Grade 5 AC,room
room_ff_60,1,436.26425,214.45465,Physics Store 1,room
room_ff_61,1,444.90952,220.13216,Physics Lab FF2 (Back),room
room_ff_62,1,516.00732,225.55157,Physics Lab FF 1 (Back),room
room_ff_63,1,548.13678,243.61635,Physics Lab FF1 (Front),room
room_ff_64,1,508.7814,239.74533,Biology Lab FF1 (Back),room
room_ff_65,1,541.16895,257.16492,Biology Lab FF1 (Front),room
room_ff_66,1,571.75,254.06812,Physics Store 2,room
room_ff_67,1,564.78217,267.87476,Biology Store,room
corridor_ff_36,1,436.13522,229.55164,Lab Corridor Physics Store - PYP 5 K Junction,corridor
corridor_ff_37,1,445.81277,228.90646,Lab Corridor Physics Lab (Back) - PYP 5 J Junction,corridor
room_ff_68,1,482.07135,222.06766,Physics Lab FF2 (Front),room
corridor_ff_38,1,466.97437,228.00322,Lab Corridor PYP 5 I Junction,corridor
corridor_ff_39,1,486.97464,229.80971,Lab Corridor Physics Lab FF2 (Front) - Stair Junction,corridor
room_ff_69,1,506.97491,221.55153,Washroom,room
corridor_ff_40,1,509.16849,231.10005,Lab Corridor Physics Lab (Back) - Biology Lab (Back) Junction,corridor
corridor_ff_41,1,545.16901,250.5842,Lab Corridor Physics Lab (Front) - Biology Lab (Front) Junction,corridor
corridor_ff_42,1,568.39514,261.42307,Lab Corridor Physics Store-Biology Store Junction,corridor
corridor_ff_43,1,494.71667,243.61635,Lab Corridor Passage Junction 1,corridor
corridor_ff_44,1,472.90991,288.00409,Passage Junction 2,corridor
corridor_ff_45,1,473.168,336.90799,Passage Junction 3,corridor
corridor_ff_46,1,492.00696,371.74719,Passage Junction 4,corridor
corridor_ff_47,1,499.74899,392.90878,PYP 5 Corridor Passage-Stair Junction,corridor
room_ff_70,1,508.26526,384.6506,General Science Lab Entrance 1,room
room_ff_71,1,542.20123,368.13425,General Science Lab Entrance 2,room
room_ff_72,1,536.91083,386.19901,PYP 5 H,room
room_ff_73,1,529.55591,389.81198,PYP 5 G,room
