from,to,distance,accessible
stair_gf_4,corridor_gf_60,115.1,true
stair_gf_4,corridor_gf_61,110.55,true
stair_gf_4,corridor_gf_63,118.25,true
stair_gf_3,stair_gf_2,94.37,true
stair_gf_3,stair_gf_5,77.65,true
stair_gf_3,lift_gf,67.45,true
stair_gf_3,stair_gf_6,97.02,true
stair_gf_3,stair_gf_11,94.25,true
stair_gf_3,room_gf_9,117.5,true
stair_gf_3,room_gf_10,106.38,true
stair_gf_3,room_gf_32,109.64,true
stair_gf_3,room_gf_33,114.23,true
stair_gf_3,room_gf_34,68.65,true
stair_gf_3,room_gf_35,42.93,true
stair_gf_3,room_gf_36,57.18,true
stair_gf_3,room_gf_37,74.44,true
stair_gf_3,room_gf_38,31.98,true
stair_gf_3,room_gf_39,51.05,true
stair_gf_3,room_gf_156,68.04,true
stair_gf_3,room_gf_41,118.27,true
stair_gf_3,room_gf_42,107.75,true
stair_gf_3,room_gf_44,118.85,true
stair_gf_3,room_gf_58,118.43,true
stair_gf_3,room_gf_59,107.84,true
stair_gf_3,room_gf_61,102.5,true
stair_gf_3,room_gf_63,108.31,true
stair_gf_3,room_gf_69,111.97,true
stair_gf_3,room_gf_70,119.87,true
stair_gf_3,room_gf_87,57.72,true
stair_gf_3,room_gf_94,112.84,true
stair_gf_3,room_gf_95,116.06,true
stair_gf_3,room_gf_96,97.86,true
stair_gf_3,room_gf_97,93.07,true
stair_gf_3,room_gf_98,17.76,true
stair_gf_3,room_gf_99,8.44,true
stair_gf_3,room_gf_100,89.17,true
stair_gf_3,room_gf_110,59.52,true
stair_gf_3,room_gf_155,31.37,true
stair_gf_3,room_gf_112,66.33,true
stair_gf_3,room_gf_113,25.39,true
stair_gf_3,room_gf_114,105.67,true
stair_gf_3,entrance_3,86.43,true
stair_gf_3,entrance_17,114.0,true
stair_gf_3,corridor_gf_3,117.45,true
stair_gf_3,corridor_gf_100,119.38,true
stair_gf_3,corridor_gf_160,72.67,true
stair_gf_3,corridor_gf_15,114.62,true
stair_gf_3,corridor_gf_16,118.92,true
stair_gf_3,corridor_gf_21,101.59,true
stair_gf_3,corridor_gf_22,78.5,true
stair_gf_3,corridor_gf_24,96.38,true
stair_gf_3,corridor_gf_25,20.35,true
stair_gf_3,corridor_gf_26,35.52,true
stair_gf_3,corridor_gf_27,61.31,true
stair_gf_3,corridor_gf_34,115.93,true
stair_gf_3,room_gf_126,93.62,true
stair_gf_3,corridor_gf_35,99.3,true
stair_gf_3,corridor_gf_36,88.43,true
stair_gf_3,corridor_gf_37,119.47,true
stair_gf_3,corridor_gf_41,92.68,true
stair_gf_3,corridor_gf_43,35.38,true
stair_gf_3,corridor_gf_44,52.51,true
stair_gf_3,corridor_gf_45,72.8,true
stair_gf_3,corridor_gf_46,111.01,true
stair_gf_3,corridor_gf_48,94.1,true
stair_gf_3,corridor_gf_50,114.62,true
stair_gf_3,corridor_gf_63,113.51,true
stair_gf_3,corridor_gf_64,118.65,true
stair_gf_2,stair_gf_5,26.55,true
stair_gf_2,lift_gf,36.2,true
stair_gf_2,stair_gf_6,81.33,true
stair_gf_2,stair_gf_11,112.51,true
stair_gf_2,stair_gf_15,92.1,true
stair_gf_2,room_gf_4,106.48,true
stair_gf_2,room_gf_5,116.95,true
stair_gf_2,room_gf_6,73.42,true
stair_gf_2,room_gf_7,75.91,true
stair_gf_2,room_gf_8,58.89,true
stair_gf_2,room_gf_9,55.34,true
stair_gf_2,room_gf_10,26.71,true
stair_gf_2,room_gf_11,46.14,true
stair_gf_2,room_gf_12,37.27,true
stair_gf_2,room_gf_13,66.16,true
stair_gf_2,room_gf_14,31.22,true
stair_gf_2,room_gf_15,32.03,true
stair_gf_2,room_gf_16,57.59,true
stair_gf_2,room_gf_17,58.52,true
stair_gf_2,room_gf_18,69.51,true
stair_gf_2,room_gf_200,61.83,true
stair_gf_2,room_gf_20,80.7,true
stair_gf_2,room_gf_21,89.49,true
stair_gf_2,room_gf_22,78.96,true
stair_gf_2,room_gf_23,91.01,true
stair_gf_2,room_gf_24,106.16,true
stair_gf_2,room_gf_25,98.78,true
stair_gf_2,room_gf_26,118.8,true
stair_gf_2,room_gf_32,34.58,true
stair_gf_2,room_gf_33,43.48,true
stair_gf_2,room_gf_34,40.92,true
stair_gf_2,room_gf_35,78.88,true
stair_gf_2,room_gf_36,87.99,true
stair_gf_2,room_gf_37,100.39,true
stair_gf_2,room_gf_38,96.83,true
stair_gf_2,room_gf_39,105.55,true
stair_gf_2,room_gf_156,113.7,true
stair_gf_2,room_gf_87,97.36,true
stair_gf_2,room_gf_96,109.23,true
stair_gf_2,room_gf_98,92.44,true
stair_gf_2,room_gf_99,100.97,true
stair_gf_2,room_gf_155,87.67,true
stair_gf_2,room_gf_112,88.43,true
stair_gf_2,room_gf_113,69.06,true
stair_gf_2,room_gf_114,81.54,true
stair_gf_2,room_gf_115,85.16,true
stair_gf_2,room_gf_122,46.94,true
stair_gf_2,entrance_3,21.94,true
stair_gf_2,entrance_17,69.61,true
stair_gf_2,corridor_gf_2,90.63,true
stair_gf_2,corridor_gf_3,28.72,true
stair_gf_2,corridor_gf_100,33.54,true
stair_gf_2,corridor_gf_5,70.84,true
stair_gf_2,corridor_gf_160,99.62,true
stair_gf_2,corridor_gf_25,77.76,true
stair_gf_2,corridor_gf_26,80.15,true
stair_gf_2,corridor_gf_27,35.62,true
stair_gf_2,corridor_gf_28,48.54,true
stair_gf_2,corridor_gf_29,72.62,true
stair_gf_2,corridor_gf_30,87.07,true
stair_gf_2,corridor_gf_31,101.09,true
stair_gf_2,corridor_gf_34,21.83,true
stair_gf_2,room_gf_126,26.56,true
stair_gf_2,corridor_gf_35,12.02,true
stair_gf_2,corridor_gf_36,7.45,true
stair_gf_2,corridor_gf_37,36.84,true
stair_gf_2,corridor_gf_38,55.08,true
stair_gf_2,corridor_gf_39,72.11,true
stair_gf_2,corridor_gf_40,111.02,true
stair_gf_2,corridor_gf_41,71.76,true
stair_gf_2,corridor_gf_43,86.55,true
stair_gf_2,corridor_gf_44,95.9,true
stair_gf_2,corridor_gf_45,109.8,true
stair_gf_2,corridor_gf_48,117.13,true
stair_gf_2,room_gf_150,97.68,true
stair_gf_5,lift_gf,11.17,true
stair_gf_5,stair_gf_6,94.14,true
stair_gf_5,stair_gf_11,86.38,true
stair_gf_5,stair_gf_15,118.58,true
stair_gf_5,room_gf_2,118.48,true
stair_gf_5,room_gf_4,98.19,true
stair_gf_5,room_gf_5,103.07,true
stair_gf_5,room_gf_6,67.65,true
stair_gf_5,room_gf_7,63.2,true
stair_gf_5,room_gf_8,58.92,true
stair_gf_5,room_gf_9,45.97,true
stair_gf_5,room_gf_10,28.73,true
stair_gf_5,room_gf_11,51.63,true
stair_gf_5,room_gf_12,48.15,true
stair_gf_5,room_gf_13,82.19,true
stair_gf_5,room_gf_14,49.76,true
stair_gf_5,room_gf_15,55.32,true
stair_gf_5,room_gf_16,82.64,true
stair_gf_5,room_gf_17,84.59,true
stair_gf_5,room_gf_18,95.85,true
stair_gf_5,room_gf_200,88.34,true
stair_gf_5,room_gf_20,106.16,true
stair_gf_5,room_gf_21,114.62,true
stair_gf_5,room_gf_22,102.33,true
stair_gf_5,room_gf_23,117.54,true
stair_gf_5,room_gf_32,59.28,true
stair_gf_5,room_gf_33,67.83,true
stair_gf_5,room_gf_34,46.77,true
stair_gf_5,room_gf_35,54.16,true
stair_gf_5,room_gf_36,61.82,true
stair_gf_5,room_gf_37,73.84,true
stair_gf_5,room_gf_38,73.67,true
stair_gf_5,room_gf_39,80.28,true
stair_gf_5,room_gf_156,87.46,true
stair_gf_5,room_gf_41,119.99,true
stair_gf_5,room_gf_87,96.08,true
stair_gf_5,room_gf_96,117.35,true
stair_gf_5,room_gf_98,71.82,true
stair_gf_5,room_gf_99,85.3,true
stair_gf_5,room_gf_155,79.59,true
stair_gf_5,room_gf_112,90.89,true
stair_gf_5,room_gf_113,52.84,true
